epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,16.086,0.92463,0.7265,1.25511,0.80869,0.92857,0.91667,0.66437,1.1505,1.02087,1.23043,0.00040605,0.00040605,0.00040605
43,16.4872,0.84157,0.76725,1.249,0.91068,0.92857,0.94269,0.65763,1.19107,0.89011,1.24686,0.000409022,0.000409022,0.000409022
44,16.8524,0.91027,0.82169,1.29067,0.91068,0.92857,0.94269,0.65763,1.19107,0.89011,1.24686,0.000411664,0.000411664,0.000411664
45,17.2269,0.87745,0.74465,1.25305,0.91089,0.92548,0.954,0.64963,1.20898,0.83196,1.26536,0.000413976,0.000413976,0.000413976
46,17.5963,1.02863,0.86971,1.32245,0.91089,0.92548,0.954,0.64963,1.20898,0.83196,1.26536,0.000415958,0.000415958,0.000415958
47,17.97,0.73796,0.66419,1.06154,0.90234,0.92531,0.954,0.64518,1.20472,0.80344,1.27844,0.00041761,0.00041761,0.00041761
48,18.3395,0.83318,0.76283,1.20794,0.90234,0.92531,0.954,0.64518,1.20472,0.80344,1.27844,0.000418932,0.000418932,0.000418932
49,18.7146,0.8472,0.68161,1.22378,0.89357,0.91625,0.954,0.65777,1.21372,0.78047,1.31154,0.000419924,0.000419924,0.000419924
50,19.0777,0.85388,0.82726,1.27598,0.89357,0.91625,0.954,0.65777,1.21372,0.78047,1.31154,0.000420586,0.000420586,0.000420586
51,19.455,1.06732,0.84042,1.39514,0.86369,0.99563,0.94873,0.67929,1.19916,0.74898,1.2875,0.000420918,0.000420918,0.000420918
52,19.8416,0.72877,0.6836,1.11313,0.86369,0.99563,0.94873,0.67929,1.19916,0.74898,1.2875,0.000420919,0.000420919,0.000420919
53,20.2304,0.80827,0.68761,1.03912,0.86369,0.99563,0.94873,0.67929,1.19916,0.74898,1.2875,0.000420591,0.000420591,0.000420591
54,20.6333,0.77349,0.7119,1.12693,0.92729,1,0.96875,0.66184,1.19278,0.73836,1.26471,0.000419932,0.000419932,0.000419932
55,21.0017,0.71721,0.69702,1.13827,0.92729,1,0.96875,0.66184,1.19278,0.73836,1.26471,0.000418944,0.000418944,0.000418944
56,21.3662,0.81298,0.73774,1.14596,0.92729,1,0.96875,0.66184,1.19278,0.73836,1.26471,0.000417625,0.000417625,0.000417625
57,21.7406,0.77329,0.65569,1.06803,0.93428,0.99839,0.95063,0.67817,1.17973,0.70772,1.28328,0.000415977,0.000415977,0.000415977
58,22.1034,0.92165,0.86371,1.32699,0.93428,0.99839,0.95063,0.67817,1.17973,0.70772,1.28328,0.000413998,0.000413998,0.000413998
59,22.4688,0.9412,0.74575,1.24776,0.93428,0.99839,0.95063,0.67817,1.17973,0.70772,1.28328,0.000411689,0.000411689,0.000411689
60,22.8429,0.74219,0.67437,1.18971,0.92149,0.99044,0.96875,0.693,1.15153,0.70372,1.26256,0.00040905,0.00040905,0.00040905
61,23.2345,0.78025,0.66763,1.1008,0.92149,0.99044,0.96875,0.693,1.15153,0.70372,1.26256,0.000406081,0.000406081,0.000406081
62,23.6306,0.62791,0.58638,1.01284,0.92149,0.99044,0.96875,0.693,1.15153,0.70372,1.26256,0.000402782,0.000402782,0.000402782
63,24.0341,0.69326,0.64744,1.0954,0.91514,0.99877,0.9775,0.69623,1.12589,0.70249,1.25131,0.000399153,0.000399153,0.000399153
64,24.4268,0.66068,0.59647,1.00954,0.91514,0.99877,0.9775,0.69623,1.12589,0.70249,1.25131,0.000395194,0.000395194,0.000395194
65,24.8154,0.75579,0.76795,1.14673,0.91514,0.99877,0.9775,0.69623,1.12589,0.70249,1.25131,0.000390905,0.000390905,0.000390905
66,25.22,0.91539,0.69305,1.21434,0.91241,0.99332,0.9775,0.6824,1.13402,0.70994,1.2534,0.000386286,0.000386286,0.000386286
67,25.5903,0.63096,0.60386,1.0123,0.91241,0.99332,0.9775,0.6824,1.13402,0.70994,1.2534,0.000381336,0.000381336,0.000381336
68,25.9521,0.75644,0.70726,1.10628,0.91241,0.99332,0.9775,0.6824,1.13402,0.70994,1.2534,0.000376057,0.000376057,0.000376057
69,26.3269,0.75885,0.69026,1.14283,0.8935,0.9828,0.98625,0.68771,1.15156,0.70687,1.26961,0.000370447,0.000370447,0.000370447
70,26.6939,0.6208,0.60964,1.05554,0.8935,0.9828,0.98625,0.68771,1.15156,0.70687,1.26961,0.000364508,0.000364508,0.000364508
71,27.06,0.70526,0.60411,1.06202,0.8935,0.9828,0.98625,0.68771,1.15156,0.70687,1.26961,0.000358238,0.000358238,0.000358238
72,27.4588,0.68433,0.62497,1.06176,0.89302,0.99016,0.98625,0.68241,1.17037,0.69516,1.28633,0.000351639,0.000351639,0.000351639
73,27.8493,0.65275,0.63188,1.04304,0.89302,0.99016,0.98625,0.68241,1.17037,0.69516,1.28633,0.000344709,0.000344709,0.000344709
74,28.2286,0.70817,0.59342,1.01397,0.89302,0.99016,0.98625,0.68241,1.17037,0.69516,1.28633,0.000337449,0.000337449,0.000337449
75,28.6268,0.72432,0.64473,1.07997,0.8998,0.99405,0.995,0.70723,1.1562,0.66982,1.29333,0.000329859,0.000329859,0.000329859
76,29.0294,0.72399,0.66992,1.14056,0.8998,0.99405,0.995,0.70723,1.1562,0.66982,1.29333,0.000321939,0.000321939,0.000321939
77,29.4766,0.63515,0.60009,0.98503,0.8998,0.99405,0.995,0.70723,1.1562,0.66982,1.29333,0.000313689,0.000313689,0.000313689
78,29.8919,0.79907,0.73581,1.13902,0.90854,0.99642,0.98625,0.70593,1.12166,0.66955,1.29374,0.000305109,0.000305109,0.000305109
79,30.2803,0.64656,0.58579,1.0503,0.90854,0.99642,0.98625,0.70593,1.12166,0.66955,1.29374,0.000296199,0.000296199,0.000296199
80,30.6439,0.77395,0.63993,1.14005,0.90854,0.99642,0.98625,0.70593,1.12166,0.66955,1.29374,0.000286959,0.000286959,0.000286959
81,31.0465,0.58455,0.52466,0.99668,0.92093,1,0.9775,0.69851,1.11335,0.6488,1.30041,0.000277389,0.000277389,0.000277389
82,31.4286,0.59481,0.64691,1.0492,0.92093,1,0.9775,0.69851,1.11335,0.6488,1.30041,0.000267488,0.000267488,0.000267488
83,31.823,0.72771,0.65771,1.13112,0.92093,1,0.9775,0.69851,1.11335,0.6488,1.30041,0.000257258,0.000257258,0.000257258
84,32.2416,0.69365,0.5758,1.0654,0.92744,1,0.9775,0.70559,1.10162,0.6287,1.28892,0.000246698,0.000246698,0.000246698
85,32.6584,0.6461,0.56185,1.02041,0.92744,1,0.9775,0.70559,1.10162,0.6287,1.28892,0.000235807,0.000235807,0.000235807
86,33.0673,0.8567,0.73104,1.27382,0.92744,1,0.9775,0.70559,1.10162,0.6287,1.28892,0.000224587,0.000224587,0.000224587
87,33.4788,0.61419,0.54475,1.04696,0.92744,1,0.9775,0.70559,1.10162,0.6287,1.28892,0.000213036,0.000213036,0.000213036
88,33.8771,0.6431,0.61052,1.12222,0.92854,1,0.9775,0.69978,1.10341,0.62508,1.27243,0.000201155,0.000201155,0.000201155
89,34.2712,0.58024,0.53702,1.02208,0.92854,1,0.9775,0.69978,1.10341,0.62508,1.27243,0.000188944,0.000188944,0.000188944
90,34.6601,0.68834,0.61216,1.06296,0.92854,1,0.9775,0.69978,1.10341,0.62508,1.27243,0.000176404,0.000176404,0.000176404
91,35.623,0.81006,0.81998,1.28222,0.92854,1,0.9775,0.69978,1.10341,0.62508,1.27243,0.000163533,0.000163533,0.000163533
92,36.1255,0.59018,0.63225,1.10812,0.92765,1,0.9775,0.70924,1.10627,0.63814,1.26247,0.000150332,0.000150332,0.000150332
93,36.6507,0.61564,0.68937,1.11617,0.92765,1,0.9775,0.70924,1.10627,0.63814,1.26247,0.000136801,0.000136801,0.000136801
94,37.063,0.60364,0.6502,1.03501,0.92765,1,0.9775,0.70924,1.10627,0.63814,1.26247,0.00012294,0.00012294,0.00012294
95,37.4666,0.72307,0.65715,0.99462,0.92765,1,0.9775,0.70924,1.10627,0.63814,1.26247,0.000108748,0.000108748,0.000108748
96,37.8577,0.61461,0.5878,1.01568,0.92531,1,0.9775,0.70831,1.10466,0.64246,1.25536,9.42272e-05,9.42272e-05,9.42272e-05
97,38.2206,0.50054,0.57446,0.89021,0.92531,1,0.9775,0.70831,1.10466,0.64246,1.25536,7.93759e-05,7.93759e-05,7.93759e-05
98,38.5814,0.61973,0.69816,1.08208,0.92531,1,0.9775,0.70831,1.10466,0.64246,1.25536,6.41945e-05,6.41945e-05,6.41945e-05
99,38.9407,0.58848,0.59759,1.06447,0.92531,1,0.9775,0.70831,1.10466,0.64246,1.25536,4.86831e-05,4.86831e-05,4.86831e-05
100,39.311,0.52703,0.6283,0.98231,0.9269,1,0.96875,0.69868,1.1046,0.64553,1.25622,3.28416e-05,3.28416e-05,3.28416e-05
