epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,42.2942,0.79979,0.79521,0.95301,0.96662,0.96807,0.98687,0.76195,0.96778,0.66982,1.00087,0.000990365,0.000990365,0.000990365
43,43.2482,0.72224,0.78864,0.94545,0.96638,0.90541,0.97535,0.76354,0.89418,0.65736,0.97952,0.000973861,0.000973861,0.000973861
44,44.2005,0.69645,0.79833,0.94244,0.94094,0.98476,0.99313,0.78542,0.93396,0.61578,0.99203,0.000957358,0.000957358,0.000957358
45,45.1795,0.72253,0.7856,0.97559,0.96817,0.98959,0.995,0.77289,0.94055,0.58542,0.99745,0.000940855,0.000940855,0.000940855
46,46.1331,0.70672,0.77443,0.91836,0.95172,0.96903,0.995,0.77947,0.91318,0.57216,0.9813,0.000924352,0.000924352,0.000924352
47,47.0864,0.75598,0.78472,0.95742,0.95303,0.96843,0.995,0.77504,0.9349,0.56702,0.96048,0.000907848,0.000907848,0.000907848
48,48.0366,0.68936,0.68345,0.91189,0.93633,0.9501,0.995,0.78209,0.89274,0.5511,0.93643,0.000891345,0.000891345,0.000891345
49,48.972,0.69117,0.6909,0.90177,0.93467,0.95879,0.99313,0.79461,0.8835,0.54658,0.93583,0.000874842,0.000874842,0.000874842
50,49.9461,0.65489,0.72848,0.91274,0.94926,0.96405,0.995,0.78916,0.87047,0.53631,0.93947,0.000858338,0.000858338,0.000858338
51,50.8928,0.71284,0.68854,0.95043,0.94294,0.96667,0.99313,0.77481,0.90978,0.56741,0.97273,0.000841835,0.000841835,0.000841835
52,51.8468,0.68145,0.77837,0.96127,0.89345,0.95918,0.99313,0.75994,0.93381,0.58635,0.97483,0.000825332,0.000825332,0.000825332
53,52.7818,0.72589,0.72018,0.94999,0.89982,0.97152,0.995,0.7718,0.93134,0.56448,0.97105,0.000808828,0.000808828,0.000808828
